Título,Assuntos,Pesquisador Responsável,Empresa,Grande Área do Conhecimento,Área do Conhecimento,Subárea do Conhecimento
Estudos de pós colheita para a otimização das propriedades funcionais do yacon (Smallanthus sonchifolius),Alimentos funcionais:Frutooligossacarídeos:Prebióticos:Pós-colheita:Smallanthus sonchifolius:Propriedades funcionais:Suplementos nutricionais,Rita Maria Borges de Moraes,Santa Martha Jardins Ltda. - ME,Ciências Agrárias,Agronomia,Fitotecnia
Desenvolvimento de ferramentas para aconselhamento genômico visando o aumento da produtividade de rebanhos de gado de corte,Endogamia:Marcador molecular:Aconselhamento genético:Produtividade:Bovinos de corte:Gado Nelore:Simulação:Softwares,Raysildo Barbosa Lôbo,Centro Técnico de Avaliação Genética Ltda. - EPP,Ciências Agrárias,Zootecnia,Genética e Melhoramento dos Animais Domésticos
Desenvolvimento e determinação da eficácia de produtos de origem bacteriana para tratamento de efluentes,Biotecnologia:Biorremediação:Lipase:Tratamento de águas residuárias:Tratamento de esgotos sanitários:Catalisadores,Thaís Carvalho Maester Casanova,Eco Biotech Tecnologia em Manutenção Ltda. - ME,Ciências Biológicas,Microbiologia,Microbiologia Aplicada
Desenvolvimento de um detector oticamente estimulável para dosimetrias pessoal e médica,Detectores de radiação:Radiação ionizante:Dosimetria:Dosímetros:Luminescência,Luiz Carlos de Oliveira,MRA Indústria de Equipamentos Eletrônicos Ltda,Ciências Exatas e da Terra,Física,Física da Matéria Condensada
Caracterização e validação multicêntrica de um exame molecular para classificação de nódulos tireoidianos indeterminados baseado em microRNA profiling,Técnicas de diagnóstico molecular:Neoplasias:MicroRNAs:Expressão gênica:Nódulo da glândula tireoide:Tireoidectomia:Biópsia por agulha fina,Marcos Tadeu dos Santos,Onkos Diagnósticos Moleculares Ltda. - ME,Ciências da Saúde,Medicina,Anatomia Patológica e Patologia Clínica
Sistema de liberação lipídico nanoestruturado: alternativa para a neuroimunomodulação da psoríase,Neuroimunomodulação:Inflamação:Psoríase:Nanotecnologia:Sistemas de liberação de medicamentos:Tratamento farmacológico,Daniel Roberto Callejon,Yosen Indústria e Comércio de Produtos para Saúde Ltda,Ciências Biológicas,Farmacologia,Farmacologia Geral
Desenvolvimento do Pipoh - pelúcia inteligente e personalizável para orientação hospitalar visando a redução de ansiedade e estresse em crianças hospitalizadas,Assistência hospitalar:Informática médica:Reconhecimento de imagem:Processamento de linguagem natural:Criança hospitalizada:Ansiedade:Estresse psicológico:Brinquedos,Mario Sérgio Adolfi Júnior,Kidopi Soluções em Informática Médica Ltda (Kidopi),Ciências Exatas e da Terra,Ciência da Computação,Sistemas de Computação
Simuladores sintéticos do tecido biológico para treinamento em procedimentos médicos guiados por ultrassom: amniocentese,Amniocentese:Cirurgia:Ultrassom:Impressão tridimensional,Felipe Wilker Grillo,F W Grillo - ME,Engenharias,Engenharia Biomédica,Bioengenharia
Plataforma de avaliação e treinamento cognitivo de atletas utilizando realidade virtual,Neurociências:Psicologia do esporte:Realidade virtual:Aplicativos móveis:Ludificação:Treinamento por simulação:Cognição:Atletas:Performance,Caio Margarido Moreira,Sensorial Desenvolvimento de Software Ltda. - ME,Interdisciplinar,Não Informado,Não Informado
"Desenvolvimento e caracterização de medicamento de base nanotecnológica, alvo-dirigido, para tratamento de Leishmaniose",Tecnologia farmacêutica:Nanotecnologia:Desenvolvimento de fármacos:Anfotericina B:Carreadores lipídicos nanoestruturados:Doenças negligenciadas:Leishmaniose,Franciane Marquele de Oliveira,Eleve Science Pesquisa e Desenvolvimento Ltda,Ciências da Saúde,Farmácia,Farmacotecnia
Plataforma para promoção da polinização inteligente: aumento da produtividade e qualidade de culturas e mel,Controle da qualidade:Produtividade:Polinização:Laranja:Abelhas:Café:Maçã:Melão:Mel,Andresa Aparecida Berretta e Silva,Agrobee Soluções em Polinização e Sustentabilidade Ltda,Ciências Agrárias,Zootecnia,Pastagens e Forragicultura
"Desenvolvimento de um antifúngico natural, obtido a partir de um óleo essencial, para aumentar a conservação de alimentos """"in natura""""",Segurança alimentar:Microbiologia de alimentos:Alimentos naturais:Óleos essenciais:Conservantes:Fungos fitopatogênicos:Antifúngicos,Thaila Fernanda dos Reis,Microcontrol Innovation Ltda. - ME,Ciências Biológicas,Microbiologia,Não Informado
Desenvolvimento de um dermocosmético multifuncional contendo ativo nanotecnológico para melhoria da pele com melasma,Nanotecnologia:Nanopartículas:Cosmetologia:Dermocosméticos:Cosméticos:Pigmentação:Melanose:Pele,Tais Aleriana Lucon Wagemaker,G&G Cosmética Ltda. - ME,Ciências da Saúde,Farmácia,Não Informado
Análise de viabilidade técnica e econômica da implantação de uma caldeira de bagaço que integre um ciclo rankine regenerativo com reaquecimento em uma usina sucroalcooleira,Exergia:Energia:Reaquecimento:Bagaços:Geração de energia elétrica:Indústria sucro-alcooleira:Caldeiras,Juan Harold Sosa Arnao,Juan Harold Sosa Arnao,Engenharias,Engenharia Mecânica,Engenharia Térmica
Cofre automatizado utilizando robô cartesiano,Instalações prediais de segurança:Automação predial:Edifícios residenciais:Segurança pública:Furto:Roubo:Biometria,Stefano Guimarães Velludo,Exclusif Ltda. - EPP,Engenharias,Engenharia Elétrica,"Circuitos Elétricos, Magnéticos e Eletrônicos"
Desenvolvimento de um processo inovador de síntese do fármaco cloridrato de remifentanila utilizando estratégias de qímica verde,Química verde:Fármacos:Remifentanil,Thais Guaratini,Avita Produtos Químicos Farmacêuticos Ltda,Ciências da Saúde,Farmácia,Análise e Controle de Medicamentos
Desenvolvimento de plataforma computacional e aplicativos móveis para captura e gerenciamento de documentos de saúde em suporte papel e nato-digitais em conformidade com a legislação brasileira (SBIS/CFM/CONARQ) e aderência à lei americana HIPAA,Informática médica:Gerenciamento eletrônico de documentos:Sistemas computadorizados de registros médicos:Recuperação da informação:Digitalização:Terminologia:Plataforma (computação):Aplicativos móveis,Flavio Barbosa,Ciaware Centro de Informatizações e Análises Ltda,Engenharias,Engenharia Biomédica,Engenharia Médica
"Fonte de luz laser com controle cromático digital para aplicações médicas, diagnósticas e cirúrgicas",Equipamentos e provisões hospitalares:Fibra óptica:Energia:Iluminação:Diodos:Energia elétrica:Laser,Alexandre Martinewski,Sigmed Equipamentos Eletrônicos Ltda. - EPP,Engenharias,Engenharia Biomédica,Engenharia Médica
Nanofibras de biocelulose: uma nova geração de materiais para aplicações na liberação de fármacos,Fenômenos e processos farmacológicos e toxicológicos:Liberação controlada de fármacos:Nanofibras:Spray drying:Gluconacetobacter xylinus,Andréia Bagliotti Meneguin,Labmaq do Brasil Ltda,Ciências da Saúde,Farmácia,Farmacotecnia
SIPRAD: Sistema de Planejamento Radioterápico,Terapêutica médica:Radioterapia:Neoplasias:Raios X:Tomógrafos computadorizados,Diego Fiori de Carvalho,Innolution Sistemas de Informática Ltda,Ciências da Saúde,Medicina,Radiologia Médica
"Aprimoramento do sistema CleverCare por meio do desenvolvimento de novas funcionalidades, adaptações para internacionalização e desenvolvimento de novos métodos de acesso ao sistema",Informática médica:Aprendizado computacional:Usabilidade de software:Frameworks:Gestão da informação:Sistemas de informação em saúde,Hugo Cesar Pessotti,Kidopi Soluções em Informática Médica Ltda (Kidopi),Ciências Exatas e da Terra,Ciência da Computação,Sistemas de Computação
Armazenamento multi nuvem privado e seguro de arquivos usando dispersão de dados e criptografia,Computação em nuvem:Sistemas distribuídos:Segurança da informação:Criptologia:Privacidade,Rafael Mira de Oliveira Libardi,Rafael Mira de Oliveira Libardi Eireli - ME,Ciências Exatas e da Terra,Ciência da Computação,Sistemas de Computação
Desenvolvimento e aplicações de microcápsulas de defensivos agrícolas orgânicos pela técnica de spray dryer - fase 2,Agricultura orgânica:Secagem:Spray drying:Microencapsulação:Bioensaio:Pesticidas,Luciana Alves Tacon,Labmaq do Brasil Ltda,Ciências Agrárias,Agronomia,Fitossanidade
Pesquisa e desenvolvimento de nova vacina para mastite bovina,Produtos imunológicos:Imunogenicidade:Vacinas:Mastite bovina:beta-Glucanas,Carlos Eduardo Junqueira Fonseca,Laboratório Vitafort Indústria e Comércio Produtos Veterinários Ltda,Ciências Agrárias,Medicina Veterinária,Medicina Veterinária Preventiva
"Otimização do processo de terapia celular para lesões cutâneas em pacientes: desenvolvimento de biocurativo e avaliação do potencial terapêutico de queratinócitos, fibroblastos e células mesenquimais em úlceras crônicas e queimaduras graves",Dermatologia:Terapia baseada em transplante de células e tecidos:Curativos biológicos:Úlcera cutânea:Queimaduras:Queratinócitos:Fibroblastos,Carolina Caliári Oliveira,In Situ Terapia Celular Ltda,Ciências da Saúde,Medicina,Não Informado
"Método computacional para desenvolvimento percepção, da atenção e da ação de atletas",Desempenho esportivo:Atletas:Cognição:Modelos neurológicos:Modelagem computacional,Caio Margarido Moreira,Sensorial Desenvolvimento de Software Ltda. - ME,Interdisciplinar,Não Informado,Não Informado
Perfis de microRNAs como ferramenta de identificação de recidiva em pacientes com câncer de próstata,Prostatectomia:Neoplasias da próstata:Metástase:MicroRNAs:Recidiva,Ana Lígia Buzolin,Onkos Diagnósticos Moleculares Ltda. - ME,Ciências Biológicas,Genética,Genética Humana e Médica
Estabelecimento de um modelo de pele tridimensional para o desenvolvimento e avaliação da eficácia de formulações cosméticas fotoprotetoras e antienvelhecimento,Raios ultravioleta:Cultura de células:Envelhecimento:Neoplasias cutâneas:Protetores solares:Fotoproteção,Ana Luiza Scarano Aguillera Forte,Agrobee Soluções em Polinização e Sustentabilidade Ltda,Ciências da Saúde,Farmácia,Análise e Controle de Medicamentos
"Produção de gonadotrofina coriônica equina recombinante (r-eCG) em sistema eucariótico, para uso em protocolos de sincronização de cio",Biotecnologia da reprodução:Sincronização do cio:Inseminação artificial animal:Bovinos:Proteínas recombinantes:Gonadotrofina coriônica,Camillo Del Cistia Andrade,LCR Kimera Biotecnologia Ltda,Ciências Agrárias,Medicina Veterinária,Reprodução Animal
Determinação da eficácia e segurança de princípio ativo de origem natural e desenvolvimento de nanopartículas para tratamento de artrite reumatoide,Artrite reumatoide:Anti-inflamatórios:Inflamassomos:Extratos vegetais:Própolis:Nanopartículas:Modelos animais,Juliana Issa Hori,Apis Flora Industrial e Comercial Ltda,Ciências Biológicas,Imunologia,Imunologia Aplicada
"Prospecção de atividade de lipídios, nanocarreadores e vesículas lipídicas nanoestruturadas em soluções crioprotetoras e desenvolvimento de kits para uso em tecnologia da reprodução assistida",Técnicas de reprodução assistida:Criopreservação animal:Lipidômica:Lipídeos:Oócitos:Embrião:Nanotecnologia:Kit de reagentes para diagnóstico,Alessandra Aparecida Vireque,INVITRA - Tecnologia da Reprodução Assistida Ltda,Ciências Agrárias,Medicina Veterinária,Reprodução Animal
Aplicação do antibiótico nigericina para controle microbiológico no setor agroindustrial,Indústria sucro-alcooleira:Biotecnologia:Nigericina:Antibióticos:Fermentação:Etanol:Monensin:Actinobacteria,Mário César Souza e Silva,M C Tech Biotecnologia Ltda,Ciências Biológicas,Bioquímica,Bioquímica de Microorganismos
"Desenvolvimento e caracterização de medicamento de base nanotecnológica, alvo-dirigido, para tratamento de leishmaniose",Doenças negligenciadas:Leishmaniose:Leishmania:Anfotericina B:Pentamidina:Paromomicina:Carreadores lipídicos nanoestruturados,Franciane Marquele de Oliveira,Agrobee Soluções em Polinização e Sustentabilidade Ltda,Ciências da Saúde,Farmácia,Farmacotecnia
Análise da eficiência de um sistema de armazenamento de pequenas quantidades de material biológico em cartão associado a um método de diagnóstico e quantificação molecular de última geração,Surtos de doenças:Técnicas de diagnóstico molecular:Infecções por HTLV-I:Infecções por HTLV-II:Reação em cadeia da polimerase em tempo real:Reação em cadeia por polimerase (PCR):DNA,Daniel Blasioli Dentillo,Dentillo e Gavio Identificação e Quantificação Molecular Ltda. - ME,Ciências da Saúde,Medicina,Clínica Médica
Desenvolvimento de plataforma computacional e aplicativos móveis para captura e gerenciamento de documentos de saúde em suporte papel e nato-digitais em conformidade com a legislação brasileira (SBIS/CFM/CONARQ) e aderência a lei americana HIPAA,Informática médica:Computação em nuvem:Computação ubíqua:Dispositivos móveis:Sistemas computadorizados de registros médicos:Digitalização:Big data,Flavio Barbosa,Ciaware Centro de Informatizações e Análises Ltda,Engenharias,Engenharia Biomédica,Engenharia Médica
Ferramenta de roteirização e inteligência educacional com mapeamento de métricas e indicadores,Plataforma (computação):Tecnologia educacional:Plataformas de ensino e aprendizagem:Indicadores de desempenho:Roteirização:Aprendizado computacional:Ensino por computador,Reginaldo Aparecido Gotardo,Cross Reality Sistemas Ltda,Ciências Humanas,Educação,Não Informado
SIPRAD: sistema de planejamento radioterápico,Terapêutica médica:Radioterapia:Raios X:Neoplasias:Desenvolvimento de software,Diego Fiori de Carvalho,Innolution Sistemas de Informática Ltda,Ciências da Saúde,Medicina,Radiologia Médica
Classificação molecular de nódulos tireoidianos indeterminados através de microRNA profiling,Técnicas de diagnóstico molecular:Neoplasias:Nódulo da glândula tireoide:Tireoidectomia:MicroRNAs,Marcos Tadeu dos Santos,Onkos Diagnósticos Moleculares Ltda. - ME,Ciências Biológicas,Genética,Genética Humana e Médica
Desenvolvimento de um processo inovador de síntese do fármaco cloridrato de remifentanila utilizando estratégias de química verde,Fármacos:Síntese de fármacos:Química verde:Analgésicos opioides:Remifentanil,Thais Guaratini,Avita Produtos Químicos Farmacêuticos Ltda,Ciências da Saúde,Farmácia,Análise e Controle de Medicamentos
Dispositivo portátil para análise preditiva de pressão acústica de transdutores de ultrassom,"Técnicas e equipamentos analíticos, diagnósticos e terapêuticos:Equipamentos e provisões elétricas:Campo magnético:Transdutores de pressão:Sensores piezoelétricos:Ultrassom:Calibragem",Rogerio Bulha Siqueira,Figlabs Pesquisa e Desenvolvimento Ltda (Figlabs),Engenharias,Engenharia Biomédica,Bioengenharia
Medicina regenerativa utilizando queratinócitos e fibroblastos ou melanócitos para terapia celular em úlceras cutâneas de diferentes etiologias e vitiligo,Dermatologia:Cicatrização:Fibroblastos:Queimaduras:Melanócitos:Queratinócitos:Terapia baseada em transplante de células e tecidos:Vitiligo:Úlcera cutânea,Carolina Caliári Oliveira,In Situ Terapia Celular Ltda,Ciências da Saúde,Medicina,Não Informado
Desenvolvimento de microcápsulas de defensivos agrícolas orgânicos por spray dryer,Embalagens de alimentos:Microencapsulação:Agricultura orgânica:Pesticidas:Bioensaio,Luciana Alves Tacon,Labmaq do Brasil Ltda,Ciências Agrárias,Agronomia,Fitossanidade
Obtenção de ácidos graxos de alto valor agregado a partir de biodiesel derivado de óleos pré-tratados via refino físico,Ácidos graxos:Biodiesel:Hidrólise:Catálise:Ésteres:Produção agrícola:Soja,Danilo Marques de Lima,"BRP Inovação, Assessoria e Representação Comercial Ltda",Engenharias,Engenharia Química,Tecnologia Química
Análise de viabilidade técnica-comercial de simuladores sintéticos do tecido biológico para treinamento em procedimentos médicos guiados por ultrassom,Ultrassom:Anestesia local:Tecidos (anatomia):Glândula tireoide:Treinamento profissional,Felipe Wilker Grillo,F W Grillo - ME,Engenharias,Engenharia Biomédica,Não Informado
Desenvolvimento de um processo escalonável para a produção de emulsões lipídicas utilizadas em nutrição parenteral,Nutrição parenteral:Tecnologia farmacêutica:Nanotecnologia:Nanoemulsão:Emulsões (formas farmacêuticas),Daniela Spuri Bernardi,Lipid Ingredients & Technologies Ltda. - ME,Ciências da Saúde,Farmácia,Farmacotecnia
Desenvolvimento de uma armadilha feromonal para o controle do carrapato bovino Ripicephalus (Boophilus) microplus,Ecologia química:Saúde animal:Bovinocultura:Feromônios:Parasitos:Carrapatos:Boophilus microplus:Controle biológico,Juca Abramo Barrera San Martin,Decoy Tecnologia em Controle de Pragas S/A,Ciências Biológicas,Ecologia,Ecologia Aplicada
Desenvolvimento de biofármaco a partir de plataforma de produção de anticorpos monoclonais recombinantes,Anticorpos monoclonais:Phage display:Biofarmacologia:Fármacos,Mirela de Barros Tamarozzi,Invent Biotecnologia Ltda. - ME,Ciências Biológicas,Bioquímica,Química de Macromoléculas
"Multiverso empreendedor: desenvolvimento de software para tomada de decisão e gestão de PMEs, promoção de boas práticas empreendedoras e geração de lucro em PMEs",Empreendedorismo:Desenvolvimento de software:Tomada de decisão:Pequenas e médias empresas,Henrique Croisfelts,PHC Serviços Administrativos e Projetos Ltda. - ME,Ciências Sociais Aplicadas,Administração,Administração de Empresas
Pesquisa e desenvolvimento de nova vacina para mastite bovina,Mastite bovina:Imunogenicidade:Desenvolvimento de vacinas:Vacinas:Glucanos,Carlos Eduardo Junqueira Fonseca,Laboratório Vitafort Indústria e Comércio Produtos Veterinários Ltda,Ciências Agrárias,Medicina Veterinária,Medicina Veterinária Preventiva
Identificação de novas drogas para o tratamento da tuberculose,Tuberculose:Fármacos:Ensaios enzimáticos,Sandra Rodrigues Pereira Faça,Veritas Biotecnologia Ltda,Ciências Biológicas,Bioquímica,Enzimologia
Desenvolvimento de um medicamento de base nanotecnológica oriundo da biodiversidade brasileira para tratamento de Leshmaniose,Nanotecnologia:Biodiversidade:Nanopartículas:Ocotea:Leishmaniose,Franciane Marquele de Oliveira,Apis Flora Industrial e Comercial Ltda,Ciências da Saúde,Farmácia,Farmacognosia
Prospecção de atividade de lipídios e carreadores lipídicos em soluções crioprotetoras e desenvolvimento de kits para uso em tecnologia da reprodução assistida,Biotecnologia:Técnicas de reprodução assistida:Criopreservação:Oócitos:Embrião,Alessandra Aparecida Vireque,INVITRA - Tecnologia da Reprodução Assistida Ltda,Ciências Agrárias,Medicina Veterinária,Reprodução Animal
Bioprodução de enzimas para refino de celulose,Fermentação:Papel:Refino:Celulose:Bioprocessos,Luana Martins de Andrade da Cruz,Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Engenharias,Engenharia Química,Processos Industriais de Engenharia Química
"Estatores de alto rendimento e processo de retrofit em motores elétricos trifásicos de 1 a 100 hp, ip-55, em 2, 4, 6 e 8 polos, em uso, seminovos, sucateados ou recondicionados, de baixo rendimento para máquinas de alta-eficiência com a ostentação da etiqueta Inmetro",Motores elétricos:Economia de energia:Controle da qualidade,Joel Aires Prates,Capataz - Estatores Motores e Geradores Elétricos Eireli - ME,Engenharias,Engenharia Elétrica,Sistemas Elétricos de Potência
"Produção de gonadotrofina coriônica equina recombinante (r-eCG) em sistema eucariótico, para uso em protocolos de sincronização de cio",Bovinos:Gonadotrofina coriônica,Camillo Del Cistia Andrade,LCR Kimera Biotecnologia Ltda,Ciências Agrárias,Medicina Veterinária,Reprodução Animal
Desenvolvimento de dispositivos poliméricos nanobiocarreadores para liberação controlada de fármacos fotossensibilizadores ftalocianínicos aplicados a regeneração de tecidos biológicos e tratamento de lesões,Laser:Nanotecnologia:Fármacos fotossensibilizantes:Regeneração tecidual guiada,Fernando Lucas Primo,Nanophoton Ltda. - ME,Ciências da Saúde,Farmácia,Não Informado
Desenvolvimento de sistemas de liberação sustentada de fármacos para o tratamento de doença periodontal,Doenças periodontais:Fármacos:Filmes:Metronidazol,Maria Paula Garofo Peixoto,"Essentii Pesquisa, Desenvolvimento e Inovação Ltda. - ME",Ciências da Saúde,Farmácia,Farmacotecnia
Desenvolvimento de sistemas de liberação sustentada de fármacos para o tratamento da doença periodontal,Doenças periodontais:Fármacos:Caseínas:Metronidazol:Pectinas,Cristiane Cardoso Correia Teixeira,"Essentii Pesquisa, Desenvolvimento e Inovação Ltda. - ME",Ciências da Saúde,Farmácia,Farmacotecnia
Desenvolvimento de um medicamento para tratamento de candidíase vulvovaginal,Doenças transmissíveis:Candidíase vulvovaginal:Fitoterapia:Medicamentos fitoterápicos:Antifúngicos:Própolis,Andresa Aparecida Berretta e Silva,Apis Flora Industrial e Comercial Ltda,Ciências da Saúde,Farmácia,Farmacognosia
"Obtenção de um antibiótico de origem natural, obtido por processo biotecnológico, para controle de contaminação de processos de fermentação alcoólica",Biotecnologia:Contaminação:Fermentação alcoólica:Própolis:Aspergillus,Andresa Piacezzi Nascimento Rodrigues,Apis Flora Industrial e Comercial Ltda,Ciências Biológicas,Microbiologia,Microbiologia Aplicada
Equipamento para revestimento de formas farmacêuticas,Indústria farmacêutica:Leito fluidificado:Farmácia prática:Formas farmacêuticas:Revestimentos,Mario Tsukada,Labmaq do Brasil Ltda,Ciências da Saúde,Farmácia,Farmacotecnia
Estabelecimento e padronização do modelo ex vivo de pele humana para avaliação de segurança e eficácia de filtro de proteção solar (FPS),Cosmetologia:Cosméticos:Tecnologia de cosméticos:Protetores solares:Fotoproteção:Alternativas ao uso de animais:Alternativas aos testes com animais,Thiago Antônio Moretti de Andrade,Narcissus Pesquisa Clínica e Biotecnologia Ltda. - ME,Ciências da Saúde,Medicina,Clínica Médica
Desenvolvimento e avaliação de biocurativos obtidos a partir de celulose bacteriana e extrato padronizado de Própolis (EPP-AF) para o tratamento de queimaduras e/ou lesões de pele,Própolis:Cicatrização:Anti-infecciosos:Queimaduras:Curativos biológicos,Hernane da Silva Barud,Apis Flora Industrial e Comercial Ltda,Ciências da Saúde,Farmácia,Farmacotecnia
Desenvolvimento de biofármaco a partir de plataforma de produção de anticorpos monoclonais recombinantes,Biofarmacologia:Biofármacos:Fármacos:Anticorpos monoclonais:Phage display,Sandro Gomes Soares,Invent Biotecnologia Ltda. - ME,Ciências Biológicas,Bioquímica,Química de Macromoléculas
Desenvolvimento de ensaio enzimático para identificar novas pequenas moléculas antimicobacterianas para tubérculos em fase latente,Ensaios enzimáticos:Tuberculose:Mycobacterium:Complexo de endopeptidases do proteassoma,Sandra Rodrigues Pereira Faça,Veritas Biotecnologia Ltda,Ciências Biológicas,Bioquímica,Bioquímica de Microorganismos
"Desenvolvimento de enzimas industriais: aplicações em refinação de celulose, degomagem de óleo de soja, branqueamento de açúcar e sacarificação de celulose",Processamento de alimentos:Refino:Açúcar:Celulose:Óleo de soja:Enzimas,Fabiana Carina Pavezzi,Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Ciências Biológicas,Bioquímica,Não Informado
Desenvolvimento de um aplicativo de acesso móvel ao Sistema de Regulação Médica de Urgências e Emergências,Computação móvel:Desenvolvimento de software:Desenvolvimento de tecnologia:Serviços médicos de emergência,Mario Sérgio Adolfi Júnior,Kidopi Soluções em Informática Médica Ltda (Kidopi),Engenharias,Engenharia Biomédica,Engenharia Médica
Dispositivo de aquisição de imagens por meio de câmeras CMOS multiplexadas,Raios X:Diagnóstico por imagem:Câmeras de precisão,Fernando Agostini Funk Thomaz,Rad Tech Sistemas Médicos Ltda,Ciências Biológicas,Biofísica,Radiologia e Fotobiologia
Desenvolvimento de corpo de prova e dispositivo para avaliação da eficiência mastigatória,Preparações farmacêuticas:Implantes de medicamento:Eficiência mastigatória:Microgrânulos,Andrea Fontoura,"Essentii Pesquisa, Desenvolvimento e Inovação Ltda. - ME",Ciências da Saúde,Farmácia,Farmacotecnia
Isolamento de bacteriófagos para tratamento de Salmonella spp. em frangos,Saúde animal:Anti-infecciosos:Bacteriófagos:Salmonella:Frangos,Gustavo Olszanski Acrani,Virológica Soluções em Microbiologia Ltda,Ciências Biológicas,Microbiologia,Microbiologia Aplicada
Bioprocesso de produção de enzimas para biorrefinaria de biomassa: branqueamento de celulose,Bioprocessos:Celulose:Enzimas:Xilosidases:Branqueamento da celulose:Biorrefinarias,Álvaro de Baptista Neto,Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Engenharias,Engenharia Química,Processos Industriais de Engenharia Química
Desenvolvimento de sistema de produção de interferon-beta 1B humano visando a produção de biofármaco,Biofármacos:Proteínas recombinantes:Imunidade inata:Interferon beta,Ebert Seixas Hanna,Invent Biotecnologia Ltda. - ME,Ciências Biológicas,Bioquímica,Química de Macromoléculas
Obtenção de um insumo farmacêutico de origem natural para tratamento de candidemias e candidíases,Candidíase:Candidemia:Desenvolvimento de produtos:Fármacos:Própolis,Andresa Aparecida Berretta e Silva,Apis Flora Industrial e Comercial Ltda,Ciências da Saúde,Farmácia,Farmacognosia
"Desenvolvimento de medicamento, utilizando plantas da biodiversidade brasileira, para o tratamento da Leishmaniose: o potencial do lignoide grandisina",Farmacocinética:Biodiversidade:Lignanas:Leishmaniose:Toxicidade,Leandro de Santis Ferreira,Lychnoflora Pesquisa e Desenvolvimento em Produtos Naturais Ltda (Lychnoflora),Ciências da Saúde,Farmácia,Farmacognosia
Produção de antibióticos naturais para fermentação alcoólica industrial,Química orgânica:Fermentação alcoólica:Antibióticos:Plantas medicinais:Produção de etanol:Etanol,Eloisa Aparecida Mocheuti Kronka,Al Sukkar Biotecnologia Industrial Ltda. - ME,Ciências Exatas e da Terra,Química,Química Analítica
Desenvolvimento de enzimas para biobranqueamento de celulose: serviço de personalização de enzimas através de um processo robusto e inovador de engenharia molecular,Genética molecular:Enzimas:Xilosidases:Celulose:Refinarias,Nínive Aguiar Colonello Frattini,Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Ciências Biológicas,Bioquímica,Não Informado
Clonagem e expressão de proteína VP2 de bocavírus humano para desenvolvimento de insumo para kit de diagnóstico rápido,Epidemiologia:Vírus sinciciais respiratórios:Bocavirus humano:Biologia molecular:Proteínas recombinantes:Testes imediatos,Patricia de Oliveira Carminati,Virológica Soluções em Microbiologia Ltda,Ciências Biológicas,Microbiologia,Microbiologia Aplicada
Análise de viabilidade técnica e científica de nova técnica de imagem denominada de magnetoacustografia para utilização em um equipamento de utrassom de diagnóstico,Ultrassom:Técnicas de imagem por elasticidade:Diagnóstico:Tratamento:Estudos de viabilidade,Thiago Wellington Joazeiro de Almeida,Figlabs Pesquisa e Desenvolvimento Ltda (Figlabs),Engenharias,Engenharia Biomédica,Não Informado
Desenvolvimento de corpo de prova e dispositivo para avaliação da eficiência mastigatória,Mastigação:Eficiência mastigatória:Sistema estomatognático,Camila Alves Areda,"Essentii Pesquisa, Desenvolvimento e Inovação Ltda. - ME",Ciências da Saúde,Farmácia,Farmacotecnia
Materiais a base de proteínas recombinantes para aplicações médicas e odontológicas,Proteínas recombinantes:Biomateriais:Cimentos de resina:Teste de biocompatibilidade,Christiane Martins de Lanna Salles Carvalho,Pro Bio Pesquisa e Desenvolvimento Ltda. - ME,Ciências da Saúde,Farmácia,Farmacognosia
Produção de anticorpos monoclonais com novo potencial imunoterapêutico para o controle do câncer metastático de origem epitelial,Neoplasias:Metástase neoplásica:Metaloproteinases:Anticorpos monoclonais:Caderinas,Vitor Marcel Faça,Veritas Biotecnologia Ltda,Ciências Biológicas,Bioquímica,Química de Macromoléculas
Obtenção e avaliação da atividade in vitro de novas substâncias com potencial atividade leishmanicida,Biodiversidade:Produtos naturais:Leishmaniose cutânea:Tripanossomicidas:Lignanas,Leandro de Santis Ferreira,Lychnoflora Pesquisa e Desenvolvimento em Produtos Naturais Ltda (Lychnoflora),Ciências da Saúde,Farmácia,Farmacognosia
Construção de um banco de dados proteo-genômico de Mycobacterium turbeculosis,Biomarcadores:Espectrometria de massas:Mycobacterium tuberculosis,Sandra Rodrigues Pereira Faça,Veritas Biotecnologia Ltda,Ciências Biológicas,Bioquímica,Química de Macromoléculas
Artizima - ferramenta computacional para evolução in silico de enzimas utilizadas em biorefinarias,Algoritmos:Enzimas:Biocombustíveis:Biorrefinarias:Análise in silico,Renato Luis Tame Parreira,Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Ciências Biológicas,Bioquímica,Química de Macromoléculas
Desenvolvimento e avaliação de biocurativos obtidos a partir de celulose bacteriana e extrato padronizado de própolis (EPP-AF) para o tratamento de queimaduras e/ou lesões de pele,Anti-infecciosos:Celulose:Celulose bacteriana:Paciente com queimadura:Queimaduras:Exantema:Cicatrização:Curativos biológicos:Própolis,Hernane da Silva Barud,Apis Flora Industrial e Comercial Ltda,Ciências da Saúde,Farmácia,Farmacotecnia
